Wall time,Step,Value,num_steps
1485993848.8161,78801,0.7128508687,4
1485993849.34703,79001,0.9258489609,4
1485993849.87181,79201,0.5838561654,4
1485993850.13638,79301,0.7410168648,4
1485993850.40649,79401,0.8261884451,4
1485993850.66955,79501,0.1823377609,4
1485993850.9382,79601,0.627613306,4
1485993851.75245,79901,0.3223316073,4
1485993852.29153,80101,0.3264693618,4
1485993852.82872,80301,0.6707133055,4
1485993853.63745,80601,0.704256773,4
1485993854.1668,80801,0.4914065003,4
1485993854.4358,80901,0.6941661835,4
1485993854.70189,81001,0.7790236473,4
1485993856.31941,81601,0.8589590788,4
1485993856.57936,81701,0.748840332,4
1485993857.11014,81901,0.9376554489,4
1485993857.91113,82201,0.956802249,4
1485993858.98305,82601,0.9314110279,4
1485993859.78749,82901,0.5445529819,4
1485993860.59397,83201,0.9622604847,4
1485993860.8574,83301,0.9307448864,4
1485993861.3973,83501,0.9374541044,4
1485993861.92542,83701,0.7796536684,4
1485993862.476,83901,0.3258325458,4
1485993863.82135,84401,0.9406601191,4
1485993864.61677,84701,0.7382590771,4
1485993865.15032,84901,0.6736493111,4
1485993869.17184,86401,0.6776509285,4
1485993870.23493,86801,0.9595614672,4
1485993870.77141,87001,0.8095828295,4
1485993871.03855,87101,0.6931563616,4
1485993872.11476,87501,0.9182514548,4
1485993872.6516,87701,0.7390409112,4
1485993872.91699,87801,0.6375051737,4
1485993873.72978,88101,0.6841062307,4
1485993874.26537,88301,0.5775732398,4
1485993874.8017,88501,0.6845411062,4
1485993875.60384,88801,0.9245169759,4
1485993876.1504,89001,0.6213659048,4
1485993876.42123,89101,0.8648751974,4
1485993876.95377,89301,0.4212483764,4
1485993878.05183,89701,0.4574446678,4
1485993879.12189,90101,0.92026788,4
1485993880.98694,90801,0.6413522363,4
1485993881.25626,90901,0.3996489644,4
1485993881.52822,91001,0.8636655807,4
1485993881.79365,91101,0.9102173448,4
1485993882.33507,91301,0.7973247766,4
1485993883.14315,91601,0.6771472096,4
1485993883.42076,91701,0.9100914598,4
1485993883.68633,91801,0.5965064764,4
1485993884.48971,92101,0.6448252201,4
1485993884.753,92201,0.9218853116,4
1485993885.02164,92301,0.9529783726,4
1485993885.29279,92401,0.8248163462,4
1485993887.45209,93201,0.5071937442,4
1485993887.72244,93301,0.2249464989,4
1485993888.53305,93601,0.3350979686,4
1485993890.41399,94301,0.9755122066,4
1485993891.20846,94601,0.8878264427,4
1485993893.36582,95401,0.9266439676,4
1485993893.63483,95501,0.5774950981,4
1485993894.17065,95701,0.375887692,4
1485993894.44427,95801,0.7024194002,4
1485993894.70827,95901,0.7038607001,4
1485993895.51083,96201,0.6962001324,4
1485993895.77575,96301,0.6270037889,4
1485993896.31564,96501,0.4546737075,4
1485993896.83755,96701,0.5426625013,4
1485993898.17606,97201,0.9256982207,4
1485993898.45428,97301,0.5176595449,4
1485993899.52513,97701,0.4101518989,4
1485993899.78858,97801,0.9367206097,4
1485993900.05521,97901,0.568531096,4
1485993900.32243,98001,0.8993206024,4
1485993901.11584,98301,0.6796659231,4
1485993901.38222,98401,0.9760302305,4
1485993901.64579,98501,0.7563061714,4
1485993902.45288,98801,0.4778075814,4
1485993902.71892,98901,0.653999567,4
1485993904.86779,99701,0.6405261755,4
1485993905.93807,100101,0.9404480457,4
1485993906.4725,100301,0.7267227173,4
1485993907.00233,100501,0.7794672251,4
1485993907.27614,100601,0.7660004497,4
1485993908.07187,100901,0.6171055436,4
1485993908.86372,101201,0.7358256578,4
1485993909.13212,101301,0.5697498918,4
1485993909.40566,101401,0.812607646,4
1485993909.67823,101501,0.5971755981,4
1485993910.48965,101801,0.5676971674,4
1485993912.63959,102601,0.538003087,4
1485993913.17585,102801,0.7275745273,4
1485993913.72265,103001,0.8497998118,4
1485993914.26811,103201,0.7122073174,4
1485993914.53384,103301,0.9468711615,4
1485993915.35228,103601,0.7901257873,4
1485993915.89765,103801,0.9283668995,4
1485993916.44404,104001,0.6004248857,4
1485993917.78327,104501,0.6975753307,4
1485993919.68402,105201,0.9338162541,4
1485993919.94964,105301,0.7357722521,4
1485993920.75435,105601,0.4734387994,4
1485993921.30536,105801,0.7402784824,4
1485993922.89556,106401,0.7742042542,4
1485993923.16587,106501,0.5297144651,4
1485993923.69594,106701,0.4731375575,4
1485993924.23156,106901,0.6606348157,4
1485993925.31601,107301,0.7062504888,4
1485993926.38678,107701,0.5309537053,4
1485993926.93479,107901,0.9734141231,4
1485993928.28731,108401,0.8046944141,4
1485993928.5593,108501,0.9213702083,4
1485993928.8211,108601,0.5808081627,4
1485993930.70609,109301,0.5677760243,4
1485993930.9678,109401,0.6305500865,4
1485993932.56425,110001,0.5316631794,4
1485993933.64297,110401,0.8005939126,4
1485993933.90923,110501,0.9459805489,4
1485993934.17607,110601,0.3137620091,4
1485993936.59352,111501,0.5272778273,4
1485993937.12173,111701,0.6089806557,4
1485993937.92028,112001,0.5440768003,4
1485993939.5231,112601,0.8863869309,4
1485993939.78936,112701,0.7509835958,4
1485993940.84545,113101,0.777717948,4
1485993941.64532,113401,0.8506458998,4
1485993941.90824,113501,0.9279201627,4
1485993942.18053,113601,0.6441087723,4
1485993945.92422,115001,0.2602837086,4
1485993946.72439,115301,0.3390294909,4
1485993947.54582,115601,0.2436466813,4
1485993947.81596,115701,0.75984025,4
1485993948.09585,115801,0.7865592241,4
1485993948.8987,116101,0.7301217914,4
1485993949.16397,116201,0.9523870349,4
1485993949.43237,116301,0.9438509941,4
1485993954.26006,118101,0.5811373591,4
1485993954.7917,118301,0.7409852743,4
1485993955.05492,118401,0.9513091445,4
1485993955.60368,118601,0.7538229227,4
1485993955.87023,118701,0.3067978024,4
1485993956.67113,119001,0.8758409023,4
1485993957.46354,119301,0.700547576,4
1485993957.73125,119401,0.8521101475,4
1485993958.26913,119601,0.5347980857,4
1485993958.80558,119801,0.9061821103,4
1485993959.34173,120001,0.9275504947,4
1485993959.86622,120201,0.664403677,4
1485993960.65857,120501,0.4697203636,4
1485993961.19107,120701,0.6837897897,4
1485993961.72511,120901,0.9449401498,4
1485993962.2691,121101,0.7025287747,4
1485993962.80843,121301,0.8039007187,4
1485993963.35552,121501,0.5591170788,4
1485993966.03326,122501,0.3684255481,4
1485993967.09189,122901,0.4395262003,4
1485993968.15856,123301,0.9274545312,4
1485993968.42327,123401,0.805768013,4
1485993968.69046,123501,0.7221091986,4
1485993969.23787,123701,0.938616097,4
1485993970.04677,124001,0.7700918317,4
1485993970.87308,124301,0.7242774963,4
1485993971.40698,124501,0.8883272409,4
1485993972.23166,124801,0.8342661262,4
1485993973.83845,125401,0.6999082565,4
1485993974.38548,125601,0.3141945004,4
1485993974.92331,125801,0.7588834763,4
1485993975.19685,125901,0.2872564793,4
