Wall time,Step,Value
1485973537.9612453,101,147.2003173828125
1485973541.200685,201,339.830078125
1485973544.4422762,301,209.2123565673828
1485973547.6663399,401,115.95867919921875
1485973550.9045823,501,168.12709045410156
1485973554.1493945,601,133.71038818359375
1485973557.3812125,701,213.81118774414062
1485973560.6186883,801,248.49261474609375
1485973563.868231,901,89.21968078613281
1485973567.1032495,1001,169.2888946533203
1485973570.3202143,1101,166.69667053222656
1485973573.5502896,1201,271.4253234863281
1485973576.7881327,1301,261.8356628417969
1485973580.0285819,1401,112.55419158935547
1485973583.2673326,1501,140.89990234375
1485973586.4846504,1601,197.67005920410156
1485973589.7005427,1701,104.55258178710938
1485973592.9268932,1801,66.990966796875
1485973596.1460013,1901,270.3350830078125
1485973599.3620481,2001,190.58773803710938
1485973602.5726957,2101,150.705810546875
1485973605.7956333,2201,203.52816772460938
1485973609.012528,2301,132.63400268554688
1485973612.2443562,2401,211.32708740234375
1485973615.479275,2501,106.39928436279297
1485973618.739599,2601,280.0322265625
1485973622.0175967,2701,113.29466247558594
1485973625.342166,2801,181.8715057373047
1485973628.6187482,2901,156.59542846679688
1485973631.8338366,3001,40.169246673583984
1485973635.057298,3101,375.26080322265625
1485973638.2701874,3201,119.07846069335938
1485973641.4863362,3301,116.57670593261719
1485973644.7280478,3401,140.67440795898438
1485973647.9596531,3501,331.42529296875
1485973651.1887057,3601,193.60836791992188
1485973654.4306295,3701,97.19599914550781
1485973657.6583092,3801,196.2958984375
1485973660.8800275,3901,203.44815063476562
1485973664.1124582,4001,227.97430419921875
1485973667.397969,4101,154.2294158935547
1485973670.7426965,4201,239.9224395751953
1485973674.092421,4301,241.45318603515625
1485973677.3174527,4401,191.7589874267578
1485973680.547977,4501,303.64886474609375
1485973683.7784388,4601,239.0817108154297
1485973687.0077255,4701,225.93585205078125
1485973690.2283964,4801,302.24200439453125
1485973693.4814358,4901,84.20358276367188
1485973696.7054234,5001,194.83065795898438
1485973699.9407582,5101,197.9012908935547
1485973703.416728,5201,171.51229858398438
